id,date,country,deaths
934,2020-06-25,United Kingdom,149
935,2020-06-25,France,21
936,2020-06-25,US,2425
937,2020-06-26,Italy,30
938,2020-06-26,"Korea, South",0
939,2020-06-26,Spain,8
940,2020-06-26,United Kingdom,184
941,2020-06-26,France,26
942,2020-06-26,US,629
943,2020-06-27,Italy,8
944,2020-06-27,"Korea, South",0
945,2020-06-27,Spain,3
946,2020-06-27,United Kingdom,100
947,2020-06-27,France,0
948,2020-06-27,US,500
949,2020-06-28,Italy,22
950,2020-06-28,"Korea, South",0
951,2020-06-28,Spain,2
952,2020-06-28,United Kingdom,36
953,2020-06-28,France,0
954,2020-06-28,US,264
955,2020-06-29,Italy,6
956,2020-06-29,"Korea, South",0
957,2020-06-29,Spain,3
958,2020-06-29,United Kingdom,25
959,2020-06-29,France,35
960,2020-06-29,US,337
961,2020-06-30,Italy,23
962,2020-06-30,"Korea, South",0
963,2020-06-30,Spain,9
964,2020-06-30,United Kingdom,156
965,2020-06-30,France,30
966,2020-06-30,US,719
967,2020-07-01,Italy,21
968,2020-07-01,"Korea, South",0
969,2020-07-01,Spain,9
970,2020-07-01,United Kingdom,176
971,2020-07-01,France,18
972,2020-07-01,US,673
973,2020-07-02,Italy,30
974,2020-07-02,"Korea, South",0
975,2020-07-02,Spain,4
976,2020-07-02,United Kingdom,89
977,2020-07-02,France,14
978,2020-07-02,US,635
979,2020-07-03,Italy,15
980,2020-07-03,"Korea, South",1
981,2020-07-03,Spain,17
982,2020-07-03,United Kingdom,136
983,2020-07-03,France,18
984,2020-07-03,US,631
985,2020-07-04,Italy,21
986,2020-07-04,"Korea, South",0
987,2020-07-04,Spain,0
988,2020-07-04,United Kingdom,67
989,2020-07-04,France,0
990,2020-07-04,US,242
991,2020-07-05,Italy,7
992,2020-07-05,"Korea, South",1
993,2020-07-05,Spain,0
994,2020-07-05,United Kingdom,22
995,2020-07-05,France,0
996,2020-07-05,US,271
997,2020-07-06,Italy,8
998,2020-07-06,"Korea, South",1
999,2020-07-06,Spain,3
1000,2020-07-06,United Kingdom,16
1001,2020-07-06,France,27
1002,2020-07-06,US,325
1003,2020-07-07,Italy,30
1004,2020-07-07,"Korea, South",0
1005,2020-07-07,Spain,4
1006,2020-07-07,United Kingdom,155
1007,2020-07-07,France,13
1008,2020-07-07,US,1195
1009,2020-07-08,Italy,15
1010,2020-07-08,"Korea, South",2
1011,2020-07-08,Spain,4
1012,2020-07-08,United Kingdom,126
1013,2020-07-08,France,0
1014,2020-07-08,US,820
1015,2020-07-09,Italy,12
1016,2020-07-09,"Korea, South",1
1017,2020-07-09,Spain,5
1018,2020-07-09,United Kingdom,85
1019,2020-07-09,France,46
1020,2020-07-09,US,990
1021,2020-07-10,Italy,12
1022,2020-07-10,"Korea, South",0
1023,2020-07-10,Spain,2
1024,2020-07-10,United Kingdom,48
1025,2020-07-10,France,25
1026,2020-07-10,US,802
1027,2020-07-11,Italy,7
1028,2020-07-11,"Korea, South",1
1029,2020-07-11,Spain,0
1030,2020-07-11,United Kingdom,148
1031,2020-07-11,France,0
1032,2020-07-11,US,685
1033,2020-07-12,Italy,9
1034,2020-07-12,"Korea, South",0
1035,2020-07-12,Spain,0
1036,2020-07-12,United Kingdom,21
1037,2020-07-12,France,0
1038,2020-07-12,US,428
1039,2020-07-13,Italy,13
1040,2020-07-13,"Korea, South",0
1041,2020-07-13,Spain,3
1042,2020-07-13,United Kingdom,11
1043,2020-07-13,France,25
1044,2020-07-13,US,361
1072,2020-07-14,Italy,17
1073,2020-07-14,"Korea, South",0
1074,2020-07-14,Spain,3
1075,2020-07-14,United Kingdom,138
1076,2020-07-14,France,0
1077,2020-07-14,US,900
1078,2020-07-15,Italy,13
1079,2020-07-15,"Korea, South",2
1080,2020-07-15,Spain,4
1081,2020-07-15,United Kingdom,85
1082,2020-07-15,France,91
1083,2020-07-15,US,949
1084,2020-07-16,Italy,20
1085,2020-07-16,"Korea, South",2
1086,2020-07-16,Spain,3
1087,2020-07-16,United Kingdom,66
1088,2020-07-16,France,18
1089,2020-07-16,US,943
1090,2020-07-17,Italy,11
1091,2020-07-17,"Korea, South",1
1092,2020-07-17,Spain,4
1093,2020-07-17,United Kingdom,114
1094,2020-07-17,France,14
1095,2020-07-17,US,908
1096,2020-07-18,Italy,14
1097,2020-07-18,"Korea, South",1
1098,2020-07-18,Spain,0
1099,2020-07-18,United Kingdom,40
1100,2020-07-18,France,0
1101,2020-07-18,US,853
1102,2020-07-19,Italy,3
1103,2020-07-19,"Korea, South",1
1104,2020-07-19,Spain,0
1105,2020-07-19,United Kingdom,27
1106,2020-07-19,France,0
1107,2020-07-19,US,415
1108,2020-07-20,Italy,13
1109,2020-07-20,"Korea, South",0
1110,2020-07-20,Spain,2
1111,2020-07-20,United Kingdom,12
1112,2020-07-20,France,25
1113,2020-07-20,US,379
1114,2020-07-21,Italy,15
1115,2020-07-21,"Korea, South",1
1116,2020-07-21,Spain,2
1117,2020-07-21,United Kingdom,110
1118,2020-07-21,France,-12
1119,2020-07-21,US,1082
1120,2020-07-22,Italy,9
1121,2020-07-22,"Korea, South",0
1122,2020-07-22,Spain,2
1123,2020-07-22,United Kingdom,79
1124,2020-07-22,France,7
1125,2020-07-22,US,1195
1126,2020-07-23,Italy,10
1127,2020-07-23,"Korea, South",1
1128,2020-07-23,Spain,3
1129,2020-07-23,United Kingdom,53
1130,2020-07-23,France,10
1131,2020-07-23,US,1114
1132,2020-07-24,Italy,5
1133,2020-07-24,"Korea, South",0
1134,2020-07-24,Spain,3
1135,2020-07-24,United Kingdom,123
1136,2020-07-24,France,10
1137,2020-07-24,US,1130
1138,2020-07-25,Italy,5
1139,2020-07-25,"Korea, South",0
1140,2020-07-25,Spain,0
1141,2020-07-25,United Kingdom,61
1142,2020-07-25,France,0
1143,2020-07-25,US,905
1144,2020-07-26,Italy,5
