Symbol,Name,Start,End,Return,WorthNow
0P0000707L.TO,Dynamic Power American Growth,6.630791187286378,29.49519920349121,3.4482171690226293,444821.71690226294
0P000070DS.TO,AGF American Growth Class,16.5,77.4813003540039,3.695836385091146,469583.6385091146
0P000070F3.TO,IG Mackenzie North American Equity Fund C,16.141227722167972,25.14949989318848,0.5580908916023014,155809.08916023013
0P000070IW.TO,TD U.S. Blue Chip Equity Fund I Series,11.479999542236328,68.56999969482422,4.97299672726874,597299.672726874
0P000070KZ.TO,Fidelity U.S. Focused Stock Fund Series A,15.155500411987305,69.29160308837889,3.5720432321437845,457204.3232143784
0P000071GJ.TO,Fidelity American High Yield Sr A,6.249868392944336,8.771699905395508,0.40350153857609916,140350.15385760993
0P000071GJ.TO,Fidelity American High Yield Sr A,6.249868392944336,8.771699905395508,0.40350153857609916,140350.15385760993
0P000071MZ.TO,TD U.S. Blue Chip Equity Fund A Series,5.135900020599365,30.68950080871582,4.975486416329094,597548.6416329094
0P0000720R.TO,RBC U.S. Dividend Fund Csl,11.784646034240724,31.111900329589844,1.6400368953970335,264003.6895397033
0P000072U3.TO,Beutel Goodman American Equity Class D,5.713618755340576,17.551300048828125,2.071836046537538,307183.6046537538
0P000072ZT.TO,IG Mackenzie North American Equity Fund A,16.328866958618164,25.95719909667969,0.5896509636867252,158965.09636867253
0P0000733D.TO,Desjardins American Equity Growth,4.17655086517334,22.11899948120117,4.295996671713745,529599.6671713744
0P000073K8.TO,Desjardins American Equity Value,7.245003700256348,19.57999992370605,1.702552094350657,270255.2094350657
0P000073KV.TO,IG Mackenzie North American Equity Fund B,16.170219421386722,25.59650039672852,0.5829408203870508,158294.08203870506
0P000074L2.TO,Fidelity American High Yield Series O,6.129181385040282,8.782899856567383,0.43296458447193753,143296.45844719376
0P000074L2.TO,Fidelity American High Yield Series O,6.129181385040282,8.782899856567383,0.43296458447193753,143296.45844719376
0P000074S4.TO,Fidelity American High Yield Sr B,6.216825485229492,8.787099838256836,0.41343839538909993,141343.83953891
0P000074S4.TO,Fidelity American High Yield Sr B,6.216825485229492,8.787099838256836,0.41343839538909993,141343.83953891
0P000074SQ.TO,Fidelity U.S. Focused Stock Fund Series B,15.3326997756958,71.76809692382812,3.680721462869136,468072.1462869136
0P000075A6.TO,RBC U.S. Equity Fund Adv,16.057519912719727,36.64089965820313,1.2818529796234963,228185.29796234964
0P000076HN.TO,Dynamic Power American Growth Series T,2.0591599941253658,8.458100318908691,3.1075488757741208,410754.8875774121
0P000077JP.TO,Fidelity U.S. Focused Stock Fund Series T8,5.35005521774292,14.831500053405762,1.7722143884082886,277221.43884082884
0P000077K0.TO,Fidelity U.S. Focused Stock Fund Series S8,6.764820575714111,15.906299591064453,1.3513261605442277,235132.6160544228
0P000077P2.TO,RBC U.S. Dividend Fund A,11.80510139465332,31.06439971923828,1.6314386196892592,263143.8619689259
0P00007WO0.TO,Fidelity U.S. Focused Stock Fund Series T5,10.038079261779783,29.96929931640625,1.985561135237798,298556.1135237798
0P00007WO1.TO,Fidelity U.S. Focused Stock Fund Series S5,10.135943412780762,31.028600692749023,2.0612444672514636,306124.4467251464
0P00009NDD.TO,RBC U.S. Dividend Fund T8,7.538935661315918,11.916600227355955,0.5806740848715398,158067.40848715397
0P0000A0FO.TO,RBC U.S. Dividend Fund D,11.714415550231935,31.934499740600586,1.726085616791041,272608.56167910405
0P0000A0FY.TO,RBC U.S. Equity Fund D,19.27154922485352,38.8922004699707,1.0181148913452918,201811.48913452914
0P0000IRGY.TO,RBC Private U.S. Large-Cap Core Equity Pool O,18.13939476013184,30.274599075317386,0.6689972006043572,166899.7200604357
0P0000JVZY.TO,AGF American Growth Class Series V,13.63946533203125,42.06890106201172,2.0843511851755725,308435.1185175573
0P0000JW00.TO,AGF American Growth Class Series T,12.483752250671387,29.68440055847168,1.3778428121941644,237784.28121941647
0P0000KOEH.TO,Dynamic Power American Growth Series O,21.280000686645508,39.77880096435547,0.8693044962784743,186930.44962784744
0P0000NCUF.TO,Beutel Goodman American Equity Class I,6.545339584350586,19.31789970397949,1.9513976249860485,295139.7624986049
0P0000NXF5.TO,Dynamic Power American Growth Series OP,31.040000915527344,60.11759948730469,0.936778276872784,193677.82768727842
0P0000Q5Q2.TO,Beutel Goodman American Equity Class B,8.783391952514647,25.14620018005371,1.8629258851251038,286292.58851251035
0P0000TP82.TO,Sentry U.S. Growth and Income Fund Series A,10.25815486907959,25.295499801635746,1.4658917831199967,246589.17831199965
0P0000U5JQ.TO,Manulife U.S. All Cap Equity Fund Series Adv,10.282148361206056,31.27630043029785,2.0418059856344324,304180.5985634432
0P0000UR9M.TO,IG Mackenzie Core U.S. Equity Fund C DSC,5.953611373901367,15.449799537658693,1.5950299015796405,259502.99015796406
0P0000UR9M.TO,IG Mackenzie Core U.S. Equity Fund C DSC,5.953611373901367,15.449799537658693,1.5950299015796405,259502.99015796406
0P0000UR9O.TO,IG Mackenzie Core U.S. Equity Fund A,5.742400169372559,15.760000228881836,1.7444970333030356,274449.7033303036
0P0000UR9O.TO,IG Mackenzie Core U.S. Equity Fund A,5.742400169372559,15.760000228881836,1.7444970333030356,274449.7033303036
0P0000UR9P.TO,IG Mackenzie Core U.S. Equity Fund B,5.898314476013184,15.70580005645752,1.662760712459241,266276.0712459241
0P0000UR9P.TO,IG Mackenzie Core U.S. Equity Fund B,5.898314476013184,15.70580005645752,1.662760712459241,266276.0712459241
0P0000UR9S.TO,IG Putnam U.S. Growth C,9.475237846374512,43.41540145874024,3.581985398430096,458198.53984300955
